source,steward,name,difficulty,length,hike_time,dogs,horses,bikes,OPDMD_access,description,print_map_url,surface
CVNP,Cuyahoga Valley National Park,Ledges Trail,Moderate,2.2,1.5 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=185812,
CVNP,Cuyahoga Valley National Park,Pine Grove Trail,Moderate,2.2,1.25 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=185812,
CVNP,Cuyahoga Valley National Park,Forest Point Trail,Easy,0.5,30 minutes,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=185812,
CVNP,Cuyahoga Valley National Park,Crosscountry Trail,Moderate,2.5, 1.5 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=188081,
CVNP,Cuyahoga Valley National Park,Lake Trail,Easy,1,45 minutes,,,,,,http://www.nps.gov/cuva/planyourvisit/upload/SaltRun_Lake_WEB2009.pdf,
CVNP,Cuyahoga Valley National Park,Salt Run Trail,Moderate to difficult,3.25, 2 hours,,,,,,,
CVNP,Cuyahoga Valley National Park,Tree Farm Trail,Easy to moderate,2.75,1.5 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=185819,
CVNP,Cuyahoga Valley National Park,Oak Hill Trail,Easy,1.5,45 minutes,,,,,,,
CVNP,Cuyahoga Valley National Park,Plateau Trail,Moderate to Difficult,4.5,3 hours,,,,,,,
CVNP,Cuyahoga Valley National Park,Ohio & Erie Canal Towpath Trail,Easy,19.5,10 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/upload/Towpath5Web-2.pdf,
CVNP,Cuyahoga Valley National Park,Old Carriage Trail,Moderate to difficult,5.25,2.5 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/upload/OldCarriage_WEB2009.pdf,
CVNP,Cuyahoga Valley National Park,Stanford Trail,Moderate,1.5,1 hour,,,,,,http://www.nps.gov/cuva/planyourvisit/upload/Brandywine-Falls-Area-Trail-Map-2012.pdf,
CVNP,Cuyahoga Valley National Park,Brandywine Gorge Trail,Moderate,1.25,1 hour,,,,,,http://www.nps.gov/cuva/planyourvisit/upload/Brandywine-Falls-Area-Trail-Map-2012.pdf,
CVNP,Cuyahoga Valley National Park,Brandywine Falls Trail,Easy,0.125,20 minutes,,,,,,http://www.nps.gov/cuva/planyourvisit/upload/Brandywine-Falls-Area-Trail-Map-2012.pdf,
CVNP,Cuyahoga Valley National Park,Blue Hen Falls Trail,Easy to moderate,1.2,1 hour,,,,,,,
CVNP,Cuyahoga Valley National Park,Haskell Run Trail,Easy,0.5,30 minutes,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=185812,
CVNP,Cuyahoga Valley National Park,Boston Run Trail,Moderate,3.4,2 hours,,,,,,http://www.nps.gov/cuva/planyourvisit/loader.cfm?csModule=security/getfile&PageID=185815,
CVNP,Cleveland Metro Parks,All Purpose Trail,Moderate,5.25,2.25 hour,,,,,,,
CVNP,Cleveland Metro Parks,Bridal Veil Falls Trail,Easy,0.25,15 minutes,,,,,,,
CVNP,Cleveland Metro Parks,Hemlock Creek Loop Trail,Easy,0.6,30 minutes,,,,,,,
CVNP,Cleveland Metro Parks,All Purpose Trail,Easy to moderate,4.5,2.25 hours,,,,,,,
CVNP,Cleveland Metro Parks,Chippewa Creek Trail,Moderate,2.5,1.5 hours,,,,,,,
CVNP,Cleveland Metro Parks,My Mountain Trail,Easy,1.5,50 minutes,,,,,,,
CVNP,Cleveland Metro Parks,Scenic Overlook Trail,Easy,0.25,15 minutes,,,,,,,
CVNP,Cleveland Metro Parks,Valley Stream Trail,Easy,0.5,30 minutes,,,,,,,
CVNP,Cleveland Metro Parks,Deer Lick Cave Trail,Moderate to difficult,4,2.5 hours,,,,,,,
CVNP,"Metro Parks, Serving Summit County",Buttonwood Trail,Moderate to difficult,1,45 minutes,,,,,,http://www.summitmetroparks.org/ParksAndTrails/FurnaceRun.aspx,
CVNP,Cuyahoga Valley National Park,Buckeye Trail,,,,,,,,,,
