source,managing_agency,name,park_name,trailhead_name,trailhead_address,trailhead_city,trailhead_state,difficulty,length,hike_time,dogs,horses,bikes,access,trail_description,print_map_url
MPSSC,"Metro Parks, Serving Summit County",Bridle,Silver Creek,Boathouse,5171 S. Medina Line Rd.,Norton,OH,Easy,7.9,,Yes,Yes,,No,"The Bridle Trail at Silver Creek is the only horseback trail managed by Metro Parks, Serving Summit County.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SilverCreekMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Chippewa,Silver Creek,Bathhouse & Pheasant Run Area,5000 S. Hametown Rd.,Norton,OH,Easy,2,,Yes,No,,No,"Along Chippewa Trail, mature trees have grown from thousands of seedlings planted by Girl Scout troops between 1967 and 1983.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SilverCreekMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Pheasant Run,Silver Creek,Silver Creek Metro Park - Bathhouse & Pheasant Run Area,5000 S. Hametown Rd.,,OH,Easy,1.2,,Yes,No,,No,Pheasant Run Trail winds through fields and woods and around small ponds.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/SilverCreekMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Bike and Hike,,,,,OH,,34,,Yes,No,Yes,No,"All 34 miles of the Bike & Hike trail are paved. Some portions of the trail use neighborhood streets. Please follow the green biking signs until you rejoin the established trail. For your convenience, restrooms are located at the Brandywine Falls, SR 303, Springdale, Silver Springs and SR 91 lots.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/Bike&HikeTrail-2013a.pdf
MPSSC,"Metro Parks, Serving Summit County",Freedom,,,,,OH,,4.2,,Yes,No,Yes,No,"The Freedom Trail travels 4.2 miles between the Middlebury Lot to Tallmadge Circle. When completed, this eight-mile multipurpose trail will connect Akron and Kent and become another popular linear park managed by Metro Parks, Serving Summit County.",http://www.summitmetroparks.org/getdoc/31e03c5f-a063-489e-92d5-ff11e30baf24/MetroParksFreedomTrail-2013.aspx
MPSSC,"Metro Parks, Serving Summit County",Schumacher,Cascade Valley - North,,,,OH,Difficult ,1.2,,Yes,No,No,No,The hilly Schumacher Trail provides a closer look at some of Summit County's most pristine scenery.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-North-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Valley Link,Cascade Valley - North,,,,OH,Moderate,2.8,,Yes,No,No,No,The Valley Link Trail connects to Sand Run Metro Park.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-North-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Chuckery,Cascade Valley - South,,,,OH,Difficult,2.4,,Yes,No,No,No,"The trail gives hikers a glimpse of the Indian Signal Tree, reportedly shaped by American Indians, before passing the Cuyahoga River, crossing the parkway and heading uphill; then it loops back to the start.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Highbridge,Cascade Valley - South,,,,OH,Moderate,3.2,,Yes,NO,No,No,Highbridge Trail offers a moderately challenging hike and it connects to Gorge Metro Park.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Overlook,Cascade Valley - South,,,,OH,Easy,0.5,,Yes,No,No,Yes,"The flat, easy Overlook Trail provides spectacular views of the Cuyahoga River, 125 feet below the Overlook Deck. Good for users with wheelchairs, walkers, canes and strollers.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Oxbow,Cascade Valley - South,,,,OH,Moderate,1.2,,Yes,No,No,No,The moderate Oxbow Trail provides welcome refuge from the everyday hustle and bustle of urban life.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/CascadeValleyMetroPark-South-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Buckeye,Deep Lock Quarry,,,,OH,Difficult,,,,,No,No,"This statewide trail circles from the Ohio River (near Cincinnati) to Lake Erie (near Mentor), west to Toledo and then back to the Ohio River. Here in Summit County, the trail passes through Deep Lock Quarry, O'Neil Woods, Sand Run and Cuyahoga Valley National Park. ""Follow the blue blazes"" for the Buckeye Trail.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/DeepLockQuarryMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Cuyahoga,Deep Lock Quarry,,,,OH,Moderate,13,,Yes,No,No,No,"The Boy Scouts of America, Order of the Arrow, created this rustic trail that loops through the Cuyahoga Valley. From Deep Lock Quarry, the Cuyahoga Trail follows the towpath south to Everett before heading east along Bolanz Road. On Akron-Peninsula Road, the trail heads north to Virginia Kendall in Cuyahoga Valley National Park, winds through Boy Scout camps Manatoc and Butler, travels to the Village of Peninsula, and then returns to Deep Lock Quarry.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/DeepLockQuarryMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Quarry,Deep Lock Quarry,,,,OH,Moderate,1.2,,Yes,No,No,No,"Discarded mill stones are scattered along the moderate Quarry Trail, which takes visitors through the woods to an old quarry. You can also link to the Towpath Trail and take a short spur to the park's namesake, the deepest lock on the Ohio & Erie Canal.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/DeepLockQuarryMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Cherry Lane,Nature Realm,,,,OH,Easy,0.6,,No,No,No,No,"Cherry Lane Trail is an easy-to-travel loop that connects to Fernwood Trail at a 110-foot-long suspension bridge, taking visitors across a 45-foot-deep ravine.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf
MPSSC,"Metro Parks, Serving Summit County",Fernwood,Nature Realm,,,,OH,Easy,0.5,,No,No,No,No,"Fernwood Trail is an easy-to-travel loop that connects to Cherry Lane Trail at a 110-foot-long suspension bridge, taking visitors across a 45-foot-deep ravine.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf
MPSSC,"Metro Parks, Serving Summit County",Seneca,Nature Realm,,,,OH,Moderate,1.4,,No,No,No,No,"Seneca Trail is a partly unpaved loop leading visitors past pines, a deciduous forest and through an open prairie. Portions of the trail may be considered strenuous due to hilly terrain.",http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FASeiberlingNatureRealm-2013b.pdf
MPSSC,"Metro Parks, Serving Summit County",Redwing,Firestone,,,,OH,Easy,1.1,,Yes,No,No,No,Redwing Trail is an easy loop footpath that connects to the Willow Trail.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FirestoneMetroPark-2013.pdf
MPSSC,"Metro Parks, Serving Summit County",Walking,Firestone,,,,OH,Easy,0.9,,Yes,No,No,No,The easy Walking Course is a favorite among seniors and young families. It passes the Tuscarawas Race and connects to Willow Trail.,http://www.summitmetroparks.org/App_Themes/MetroParks/images/media/FirestoneMetroPark-2013.pdf
